<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.11.04	18:00:00	1.15453	1.15524	1.15403	1.15472	6157	0	1
2021.11.04	20:00:00	1.15472	1.15570	1.15467	1.15570	3687	0	1
2021.11.04	22:00:00	1.15569	1.15575	1.15504	1.15539	3519	0	1
2021.11.05	00:00:00	1.15537	1.15548	1.15482	1.15548	1696	0	7
2021.11.05	02:00:00	1.15548	1.15558	1.15450	1.15504	4619	0	1
2021.11.05	04:00:00	1.15505	1.15505	1.15409	1.15462	3132	0	1
2021.11.05	06:00:00	1.15465	1.15577	1.15465	1.15531	2162	0	1
2021.11.05	08:00:00	1.15529	1.15630	1.15505	1.15603	4064	0	1
2021.11.05	10:00:00	1.15603	1.15611	1.15393	1.15426	8457	0	1
2021.11.05	12:00:00	1.15425	1.15425	1.15302	1.15336	6351	0	1
2021.11.05	14:00:00	1.15336	1.15405	1.15134	1.15192	15520	0	1
2021.11.05	16:00:00	1.15190	1.15563	1.15179	1.15523	10566	0	50
2021.11.05	18:00:00	1.15522	1.15681	1.15492	1.15568	6474	0	1
2021.11.05	20:00:00	1.15568	1.15689	1.15482	1.15681	4101	0	1
2021.11.05	22:00:00	1.15680	1.15730	1.15653	1.15665	981	0	1
2021.11.08	00:00:00	1.15597	1.15692	1.15536	1.15677	3295	0	6
2021.11.08	02:00:00	1.15680	1.15680	1.15539	1.15548	2669	0	1
2021.11.08	04:00:00	1.15548	1.15623	1.15532	1.15577	2807	0	1
2021.11.08	06:00:00	1.15578	1.15634	1.15566	1.15599	2491	0	1
2021.11.08	08:00:00	1.15598	1.15686	1.15511	1.15595	4865	0	1
2021.11.08	10:00:00	1.15595	1.15760	1.15503	1.15614	8797	0	1
2021.11.08	12:00:00	1.15614	1.15740	1.15552	1.15716	4657	0	1
2021.11.08	14:00:00	1.15711	1.15830	1.15677	1.15686	6733	0	1
2021.11.08	16:00:00	1.15689	1.15947	1.15642	1.15889	8723	0	1
2021.11.08	18:00:00	1.15888	1.15950	1.15837	1.15860	4228	0	1
2021.11.08	20:00:00	1.15860	1.15898	1.15834	1.15892	2799	0	1
2021.11.08	22:00:00	1.15891	1.15911	1.15825	1.15864	2491	0	1
2021.11.09	00:00:00	1.15840	1.15874	1.15822	1.15872	1508	0	8
2021.11.09	02:00:00	1.15872	1.15908	1.15771	1.15800	3773	0	1
2021.11.09	04:00:00	1.15800	1.15886	1.15794	1.15853	4451	0	1
2021.11.09	06:00:00	1.15852	1.16066	1.15851	1.15995	3690	0	1
2021.11.09	08:00:00	1.15995	1.16065	1.15909	1.15962	5582	0	1
2021.11.09	10:00:00	1.15963	1.15967	1.15804	1.15935	7059	0	1
2021.11.09	12:00:00	1.15934	1.15986	1.15783	1.15799	5728	0	1
2021.11.09	14:00:00	1.15799	1.15964	1.15697	1.15963	8443	0	50
2021.11.09	16:00:00	1.15960	1.16086	1.15756	1.15849	12720	0	1
2021.11.09	18:00:00	1.15845	1.15940	1.15714	1.15915	7502	0	1
2021.11.09	20:00:00	1.15915	1.15948	1.15869	1.15943	4397	0	1
2021.11.09	22:00:00	1.15943	1.15986	1.15920	1.15929	2441	0	1
2021.11.10	00:00:00	1.15908	1.15941	1.15898	1.15934	1993	0	7
2021.11.10	02:00:00	1.15934	1.15953	1.15880	1.15914	3132	0	1
2021.11.10	04:00:00	1.15914	1.15921	1.15826	1.15841	3230	0	1
2021.11.10	06:00:00	1.15841	1.15851	1.15770	1.15775	2937	0	1
2021.11.10	08:00:00	1.15775	1.15823	1.15580	1.15684	5679	0	1
2021.11.10	10:00:00	1.15684	1.15822	1.15594	1.15774	8569	0	50
2021.11.10	12:00:00	1.15775	1.15812	1.15457	1.15492	6484	0	50
2021.11.10	14:00:00	1.15493	1.15647	1.15328	1.15534	10352	0	50
2021.11.10	16:00:00	1.15533	1.15743	1.15113	1.15187	16705	0	50
2021.11.10	18:00:00	1.15187	1.15348	1.15056	1.15123	9748	0	50
2021.11.10	20:00:00	1.15123	1.15157	1.14816	1.14832	12134	0	1
2021.11.10	22:00:00	1.14832	1.14860	1.14756	1.14783	4992	0	1
2021.11.11	00:00:00	1.14774	1.14866	1.14755	1.14852	1974	0	6
2021.11.11	02:00:00	1.14851	1.14876	1.14725	1.14790	4003	0	1
2021.11.11	04:00:00	1.14791	1.14847	1.14645	1.14760	3530	0	1
2021.11.11	06:00:00	1.14760	1.14806	1.14704	1.14794	2206	0	1
2021.11.11	08:00:00	1.14794	1.14851	1.14601	1.14601	4685	0	50
2021.11.11	10:00:00	1.14601	1.14764	1.14539	1.14632	7742	0	50
2021.11.11	12:00:00	1.14630	1.14747	1.14541	1.14700	6495	0	50
2021.11.11	14:00:00	1.14698	1.14750	1.14558	1.14598	6877	0	50
2021.11.11	16:00:00	1.14598	1.14772	1.14570	1.14703	6697	0	50
2021.11.11	18:00:00	1.14703	1.14708	1.14500	1.14510	4329	0	50
2021.11.11	20:00:00	1.14510	1.14525	1.14445	1.14452	3139	0	1
2021.11.11	22:00:00	1.14450	1.14500	1.14429	1.14495	2050	0	1
2021.11.12	00:00:00	1.14484	1.14510	1.14439	1.14470	1853	0	8
2021.11.12	02:00:00	1.14471	1.14484	1.14361	1.14385	3726	0	1
2021.11.12	04:00:00	1.14385	1.14427	1.14362	1.14393	2693	0	1
2021.11.12	06:00:00	1.14393	1.14444	1.14371	1.14439	2525	0	1
2021.11.12	08:00:00	1.14440	1.14560	1.14405	1.14509	4324	0	50
2021.11.12	10:00:00	1.14509	1.14555	1.14376	1.14428	8066	0	50
2021.11.12	12:00:00	1.14427	1.14529	1.14372	1.14497	5261	0	50
2021.11.12	14:00:00	1.14497	1.14555	1.14450	1.14458	6506	0	50
2021.11.12	16:00:00	1.14458	1.14623	1.14328	1.14444	11377	0	50
2021.11.12	18:00:00	1.14442	1.14520	1.14413	1.14494	6189	0	50
2021.11.12	20:00:00	1.14493	1.14519	1.14425	1.14430	3498	0	1
2021.11.12	22:00:00	1.14430	1.14468	1.14409	1.14427	1591	0	1
2021.11.15	00:00:00	1.14456	1.14456	1.14409	1.14411	1515	0	6
2021.11.15	02:00:00	1.14410	1.14601	1.14410	1.14599	3441	0	1
2021.11.15	04:00:00	1.14600	1.14641	1.14552	1.14577	3006	0	1
2021.11.15	06:00:00	1.14577	1.14631	1.14550	1.14601	2162	0	1
2021.11.15	08:00:00	1.14600	1.14621	1.14487	1.14502	4551	0	50
2021.11.15	10:00:00	1.14504	1.14547	1.14369	1.14485	8090	0	50
2021.11.15	12:00:00	1.14484	1.14566	1.14423	1.14498	6510	0	50
2021.11.15	14:00:00	1.14502	1.14546	1.14394	1.14456	6858	0	50
2021.11.15	16:00:00	1.14458	1.14461	1.14180	1.14203	10617	0	50
2021.11.15	18:00:00	1.14201	1.14241	1.13797	1.13857	9014	0	50
2021.11.15	20:00:00	1.13853	1.13900	1.13778	1.13855	4215	0	1
2021.11.15	22:00:00	1.13856	1.13868	1.13562	1.13672	4303	0	1
2021.11.16	00:00:00	1.13666	1.13722	1.13593	1.13665	2486	0	6
2021.11.16	02:00:00	1.13667	1.13794	1.13659	1.13788	4556	0	1
2021.11.16	04:00:00	1.13788	1.13855	1.13768	1.13824	3543	0	1
2021.11.16	06:00:00	1.13823	1.13846	1.13755	1.13771	2787	0	1
2021.11.16	08:00:00	1.13769	1.13823	1.13681	1.13799	5537	0	50
2021.11.16	10:00:00	1.13799	1.13799	1.13580	1.13613	8166	0	50
2021.11.16	12:00:00	1.13613	1.13723	1.13514	1.13674	6837	0	50
2021.11.16	14:00:00	1.13673	1.13749	1.13575	1.13621	9669	0	50
2021.11.16	16:00:00	1.13617	1.13624	1.13296	1.13502	14189	0	50
2021.11.16	18:00:00	1.13500	1.13556	1.13194	1.13274	7701	0	50
2021.11.16	20:00:00	1.13274	1.13342	1.13162	1.13166	5858	0	1
2021.11.16	22:00:00	1.13168	1.13231	1.13088	1.13194	4380	0	1
2021.11.17	00:00:00	1.13184	1.13224	1.13094	1.13177	2247	0	7
2021.11.17	02:00:00	1.13177	1.13267	1.13138	1.13230	4167	0	1
2021.11.17	04:00:00	1.13231	1.13240	1.12632	1.12886	6038	0	1
2021.11.17	06:00:00	1.12886	1.13028	1.12886	1.12990	6160	0	1
2021.11.17	08:00:00	1.12990	1.13174	1.12955	1.13027	7903	0	50
2021.11.17	10:00:00	1.13028	1.13211	1.12992	1.13125	8599	0	50
2021.11.17	12:00:00	1.13125	1.13248	1.13071	1.13247	5901	0	50
2021.11.17	14:00:00	1.13247	1.13324	1.12978	1.12988	7876	0	50
2021.11.17	16:00:00	1.12990	1.13211	1.12933	1.13078	10626	0	50
2021.11.17	18:00:00	1.13080	1.13262	1.12998	1.13192	8252	0	50
2021.11.17	20:00:00	1.13192	1.13262	1.13121	1.13147	5877	0	1
2021.11.17	22:00:00	1.13147	1.13231	1.13111	1.13187	3353	0	1
2021.11.18	00:00:00	1.13177	1.13215	1.13151	1.13176	2073	0	7
2021.11.18	02:00:00	1.13176	1.13285	1.13163	1.13244	4791	0	1
