Gmt time,Open,High,Low,Close,Volume
28.10.2019 00:00:00.000,1.10839,1.11065,1.10760,1.10982,106338.3828
29.10.2019 00:00:00.000,1.10982,1.11183,1.10735,1.11120,122552.6016
30.10.2019 00:00:00.000,1.11119,1.11554,1.10801,1.11521,137742.2188
31.10.2019 00:00:00.000,1.11521,1.11755,1.11314,1.11561,149061.7188
01.11.2019 00:00:00.000,1.11559,1.11718,1.11281,1.11641,126862.1563
03.11.2019 00:00:00.000,1.11684,1.11696,1.11639,1.11661,1652
04.11.2019 00:00:00.000,1.11660,1.11753,1.11218,1.11279,109786.4063
05.11.2019 00:00:00.000,1.11279,1.11401,1.10635,1.10738,152011.2344
06.11.2019 00:00:00.000,1.10739,1.10928,1.10651,1.10700,124123.6172
07.11.2019 00:00:00.000,1.10699,1.10914,1.10360,1.10523,155079.1406
08.11.2019 00:00:00.000,1.10524,1.10554,1.10167,1.10176,116906.1953
10.11.2019 00:00:00.000,1.10230,1.10231,1.10191,1.10218,1359.5699
11.11.2019 00:00:00.000,1.10217,1.10430,1.10163,1.10347,86681.3984
12.11.2019 00:00:00.000,1.10347,1.10385,1.10025,1.10120,120036.4297
13.11.2019 00:00:00.000,1.10120,1.10203,1.09953,1.10096,121193.0859
14.11.2019 00:00:00.000,1.10096,1.10274,1.09890,1.10197,116532.0547
15.11.2019 00:00:00.000,1.10198,1.10569,1.10145,1.10494,109547.4297
17.11.2019 00:00:00.000,1.10489,1.10545,1.10487,1.10539,3888.6101
18.11.2019 00:00:00.000,1.10540,1.10899,1.10533,1.10722,112908.3281
19.11.2019 00:00:00.000,1.10721,1.10839,1.10626,1.10779,109962.5859
20.11.2019 00:00:00.000,1.10781,1.10813,1.10530,1.10779,129488.8281
21.11.2019 00:00:00.000,1.10779,1.10969,1.10522,1.10656,126596.8047
22.11.2019 00:00:00.000,1.10657,1.10872,1.10143,1.10179,176378.375
24.11.2019 00:00:00.000,1.10170,1.10225,1.10162,1.10225,3677.9399
25.11.2019 00:00:00.000,1.10225,1.10321,1.10035,1.10104,115068.7188
26.11.2019 00:00:00.000,1.10105,1.10256,1.10071,1.10220,111062.375
27.11.2019 00:00:00.000,1.10220,1.10222,1.09922,1.10048,117354.7813
28.11.2019 00:00:00.000,1.10049,1.10179,1.10003,1.10113,74289.8516
29.11.2019 00:00:00.000,1.10113,1.10282,1.09811,1.10150,101410.5469
01.12.2019 00:00:00.000,1.10229,1.10269,1.10170,1.10182,2960.7
