Local time,Open,High,Low,Close,Volume
06.02.2015 21:30:00.000 GMT+0530,1.13443,1.13498,1.13119,1.13188,26903.4004
07.02.2015 01:30:00.000 GMT+0530,1.13188,1.13250,1.13121,1.13128,7350.78
09.02.2015 01:30:00.000 GMT+0530,1.12957,1.13254,1.12953,1.13135,6161.4399
09.02.2015 05:30:00.000 GMT+0530,1.13135,1.13399,1.13098,1.13372,11205.650099999999
09.02.2015 09:30:00.000 GMT+0530,1.13373,1.13462,1.13183,1.13437,12588.020100000002
09.02.2015 13:30:00.000 GMT+0530,1.13436,1.13595,1.12973,1.13112,35324.899999999994
09.02.2015 17:30:00.000 GMT+0530,1.13113,1.13471,1.12703,1.13353,49950.6406
09.02.2015 21:30:00.000 GMT+0530,1.13353,1.13550,1.13130,1.13357,26221.4697
10.02.2015 01:30:00.000 GMT+0530,1.13355,1.13371,1.13178,1.13242,9729.5897
10.02.2015 05:30:00.000 GMT+0530,1.13242,1.13454,1.13236,1.13384,12026.720200000002
10.02.2015 09:30:00.000 GMT+0530,1.13383,1.13414,1.13090,1.13301,14379.3902
10.02.2015 13:30:00.000 GMT+0530,1.13302,1.13342,1.12729,1.12787,37572.3803
10.02.2015 17:30:00.000 GMT+0530,1.12781,1.13378,1.12734,1.13241,55496.829
10.02.2015 21:30:00.000 GMT+0530,1.13240,1.13273,1.13027,1.13121,23842.3603
11.02.2015 01:30:00.000 GMT+0530,1.13123,1.13236,1.13088,1.13185,9453.0399
11.02.2015 05:30:00.000 GMT+0530,1.13185,1.13312,1.13164,1.13185,10616.8201
11.02.2015 09:30:00.000 GMT+0530,1.13186,1.13229,1.13025,1.13203,11354.349900000001
11.02.2015 13:30:00.000 GMT+0530,1.13205,1.13306,1.12890,1.13033,31737.1899
11.02.2015 17:30:00.000 GMT+0530,1.13033,1.13206,1.12874,1.13048,40677.101
11.02.2015 21:30:00.000 GMT+0530,1.13055,1.13153,1.12800,1.13002,29415.8198
12.02.2015 01:30:00.000 GMT+0530,1.13002,1.13516,1.12880,1.13108,25169.6104
12.02.2015 05:30:00.000 GMT+0530,1.13109,1.13233,1.13034,1.13134,14546.459799999999
12.02.2015 09:30:00.000 GMT+0530,1.13134,1.13377,1.13085,1.13255,13374.7699
12.02.2015 13:30:00.000 GMT+0530,1.13257,1.13546,1.13185,1.13405,47270.170999999995
12.02.2015 17:30:00.000 GMT+0530,1.13405,1.14019,1.13268,1.13717,53820.031299999995
12.02.2015 21:30:00.000 GMT+0530,1.13719,1.14228,1.13715,1.14130,32420.520099999998
13.02.2015 01:30:00.000 GMT+0530,1.14130,1.14195,1.13964,1.14037,10656.16
13.02.2015 05:30:00.000 GMT+0530,1.14037,1.14145,1.13940,1.14141,13781.240000000002
13.02.2015 09:30:00.000 GMT+0530,1.14142,1.14397,1.14136,1.14289,22434.649699999998
13.02.2015 13:30:00.000 GMT+0530,1.14290,1.14427,1.14040,1.14166,32199.9604
13.02.2015 17:30:00.000 GMT+0530,1.14166,1.14318,1.13800,1.14034,45146.3994
13.02.2015 21:30:00.000 GMT+0530,1.14028,1.14180,1.13854,1.13891,24100.7198
14.02.2015 01:30:00.000 GMT+0530,1.13890,1.14019,1.13852,1.13877,5691.6101
16.02.2015 01:30:00.000 GMT+0530,1.13990,1.14006,1.13891,1.13975,6695.2102
16.02.2015 05:30:00.000 GMT+0530,1.13975,1.14223,1.13965,1.14205,10839.53
16.02.2015 09:30:00.000 GMT+0530,1.14204,1.14290,1.14090,1.14285,13038.16
16.02.2015 13:30:00.000 GMT+0530,1.14283,1.14286,1.13953,1.14167,23571.0401
16.02.2015 17:30:00.000 GMT+0530,1.14167,1.14179,1.13990,1.14038,19311.760299999998
16.02.2015 21:30:00.000 GMT+0530,1.14039,1.14061,1.13193,1.13431,23657.859800000002
17.02.2015 01:30:00.000 GMT+0530,1.13433,1.13600,1.13304,1.13322,13724.1499
17.02.2015 05:30:00.000 GMT+0530,1.13322,1.13627,1.13218,1.13601,15840.390300000001
17.02.2015 09:30:00.000 GMT+0530,1.13603,1.13662,1.13435,1.13517,15780.149700000002
17.02.2015 13:30:00.000 GMT+0530,1.13515,1.14489,1.13371,1.14390,40045.3706
17.02.2015 17:30:00.000 GMT+0530,1.14391,1.14416,1.13811,1.14006,39846.3691
17.02.2015 21:30:00.000 GMT+0530,1.14005,1.14250,1.13885,1.14130,25684.5092
18.02.2015 01:30:00.000 GMT+0530,1.14128,1.14203,1.14002,1.14039,9140.130000000001
18.02.2015 05:30:00.000 GMT+0530,1.14039,1.14156,1.13975,1.14040,10915.06
18.02.2015 09:30:00.000 GMT+0530,1.14044,1.14121,1.13872,1.13881,10427.01
18.02.2015 13:30:00.000 GMT+0530,1.13881,1.14118,1.13592,1.13702,35008.8701
18.02.2015 17:30:00.000 GMT+0530,1.13702,1.13877,1.13455,1.13606,44846.2495
18.02.2015 21:30:00.000 GMT+0530,1.13606,1.14109,1.13339,1.13808,40103.8989
19.02.2015 01:30:00.000 GMT+0530,1.13805,1.14078,1.13774,1.13995,12827.9898
19.02.2015 05:30:00.000 GMT+0530,1.13995,1.14243,1.13992,1.14185,11664.299799999999
19.02.2015 09:30:00.000 GMT+0530,1.14185,1.14249,1.14090,1.14093,13092.8198
19.02.2015 13:30:00.000 GMT+0530,1.14093,1.14500,1.13852,1.13965,38247.7109
19.02.2015 17:30:00.000 GMT+0530,1.13960,1.13966,1.13552,1.13895,42513.21
19.02.2015 21:30:00.000 GMT+0530,1.13892,1.13956,1.13574,1.13635,22859.0396
20.02.2015 01:30:00.000 GMT+0530,1.13636,1.13692,1.13576,1.13657,9315.8999
20.02.2015 05:30:00.000 GMT+0530,1.13655,1.13725,1.13568,1.13667,8202.04
20.02.2015 09:30:00.000 GMT+0530,1.13665,1.13687,1.13389,1.13554,12536.4002
20.02.2015 13:30:00.000 GMT+0530,1.13555,1.13599,1.13035,1.13211,40372.0601
20.02.2015 17:30:00.000 GMT+0530,1.13210,1.13747,1.12790,1.13702,60216.8995
20.02.2015 21:30:00.000 GMT+0530,1.13699,1.14297,1.13463,1.13967,44138.029800000004
21.02.2015 01:30:00.000 GMT+0530,1.13967,1.14148,1.13656,1.13773,11444.2898
23.02.2015 01:30:00.000 GMT+0530,1.13911,1.13961,1.13771,1.13802,4454.53
23.02.2015 05:30:00.000 GMT+0530,1.13802,1.13932,1.13583,1.13836,9501.2899
23.02.2015 09:30:00.000 GMT+0530,1.13836,1.13846,1.13470,1.13573,10106.630000000001
23.02.2015 13:30:00.000 GMT+0530,1.13572,1.13629,1.12951,1.13121,38029.890100000004
23.02.2015 17:30:00.000 GMT+0530,1.13122,1.13588,1.12971,1.13544,32919.1899
23.02.2015 21:30:00.000 GMT+0530,1.13544,1.13603,1.13213,1.13326,21735.56
24.02.2015 01:30:00.000 GMT+0530,1.13328,1.13408,1.13288,1.13336,9448.1401
24.02.2015 05:30:00.000 GMT+0530,1.13336,1.13410,1.13234,1.13330,11113.0698
24.02.2015 09:30:00.000 GMT+0530,1.13329,1.13415,1.13226,1.13294,13932.160100000001
24.02.2015 13:30:00.000 GMT+0530,1.13293,1.13340,1.12963,1.13205,33922.3096
24.02.2015 17:30:00.000 GMT+0530,1.13206,1.13507,1.12883,1.13394,49914.9292
24.02.2015 21:30:00.000 GMT+0530,1.13385,1.13581,1.13019,1.13365,35922.8999
25.02.2015 01:30:00.000 GMT+0530,1.13365,1.13460,1.13337,1.13393,10584.49
25.02.2015 05:30:00.000 GMT+0530,1.13392,1.13519,1.13390,1.13492,15753.830099999997
25.02.2015 09:30:00.000 GMT+0530,1.13492,1.13886,1.13440,1.13735,19594.480600000003
25.02.2015 13:30:00.000 GMT+0530,1.13734,1.13816,1.13409,1.13430,40828.270599999996
25.02.2015 17:30:00.000 GMT+0530,1.13427,1.13658,1.13358,1.13570,43290.8897
25.02.2015 21:30:00.000 GMT+0530,1.13571,1.13683,1.13527,1.13589,22101.329999999998
26.02.2015 01:30:00.000 GMT+0530,1.13586,1.13658,1.13566,1.13638,10228.25
26.02.2015 05:30:00.000 GMT+0530,1.13637,1.13706,1.13581,1.13682,10612.4702
26.02.2015 09:30:00.000 GMT+0530,1.13682,1.13734,1.13483,1.13509,10475.5299
26.02.2015 13:30:00.000 GMT+0530,1.13511,1.13796,1.13439,1.13496,31940.559500000003
26.02.2015 17:30:00.000 GMT+0530,1.13494,1.13522,1.11985,1.12135,66663.54879999999
26.02.2015 21:30:00.000 GMT+0530,1.12135,1.12249,1.11836,1.11952,33004.7203
27.02.2015 01:30:00.000 GMT+0530,1.11952,1.12060,1.11927,1.12026,13709.8699
27.02.2015 05:30:00.000 GMT+0530,1.12024,1.12142,1.11992,1.12131,15566.8501
27.02.2015 09:30:00.000 GMT+0530,1.12130,1.12181,1.11997,1.12147,16343.7497
27.02.2015 13:30:00.000 GMT+0530,1.12149,1.12442,1.11965,1.12231,44226.4404
27.02.2015 17:30:00.000 GMT+0530,1.12231,1.12451,1.11756,1.12161,53332.001
27.02.2015 21:30:00.000 GMT+0530,1.12161,1.12252,1.11865,1.11935,30339.340300000003
28.02.2015 01:30:00.000 GMT+0530,1.11931,1.11976,1.11833,1.11970,7200.25
02.03.2015 01:30:00.000 GMT+0530,1.11808,1.11867,1.11601,1.11607,6453.1099
02.03.2015 05:30:00.000 GMT+0530,1.11609,1.11793,1.11609,1.11759,10977.3401
02.03.2015 09:30:00.000 GMT+0530,1.11758,1.11836,1.11662,1.11787,11495.7899
02.03.2015 13:30:00.000 GMT+0530,1.11786,1.12371,1.11765,1.12244,34858.8701
02.03.2015 17:30:00.000 GMT+0530,1.12244,1.12405,1.11894,1.11938,39499.4502
02.03.2015 21:30:00.000 GMT+0530,1.11940,1.12001,1.11764,1.11860,21695.1603
03.03.2015 01:30:00.000 GMT+0530,1.11862,1.11882,1.11764,1.11766,9872.430199999999
03.03.2015 05:30:00.000 GMT+0530,1.11765,1.11963,1.11765,1.11886,12383.54
03.03.2015 09:30:00.000 GMT+0530,1.11888,1.12122,1.11888,1.12050,15196.8803
03.03.2015 13:30:00.000 GMT+0530,1.12045,1.12047,1.11564,1.11584,37378.9307
03.03.2015 17:30:00.000 GMT+0530,1.11583,1.12008,1.11546,1.11846,40324.3194
03.03.2015 21:30:00.000 GMT+0530,1.11847,1.12175,1.11774,1.11776,29136.399999999998
04.03.2015 01:30:00.000 GMT+0530,1.11776,1.11836,1.11723,1.11827,9791.1301
04.03.2015 05:30:00.000 GMT+0530,1.11826,1.11856,1.11725,1.11738,8238.14
04.03.2015 09:30:00.000 GMT+0530,1.11737,1.11775,1.11622,1.11762,12882.7099
04.03.2015 13:30:00.000 GMT+0530,1.11762,1.11762,1.11155,1.11277,46029.6293
04.03.2015 17:30:00.000 GMT+0530,1.11277,1.11445,1.10616,1.10690,52390.4292
04.03.2015 21:30:00.000 GMT+0530,1.10691,1.10803,1.10640,1.10738,25577.2402
05.03.2015 01:30:00.000 GMT+0530,1.10737,1.10850,1.10719,1.10790,9519.3499
05.03.2015 05:30:00.000 GMT+0530,1.10791,1.10818,1.10653,1.10666,10672.44
05.03.2015 09:30:00.000 GMT+0530,1.10664,1.10695,1.10262,1.10512,21997.4797
05.03.2015 13:30:00.000 GMT+0530,1.10510,1.10616,1.10339,1.10490,31930.049799999997
05.03.2015 17:30:00.000 GMT+0530,1.10490,1.11142,1.10062,1.10324,64539.8584
05.03.2015 21:30:00.000 GMT+0530,1.10324,1.10340,1.09874,1.10262,32508.659600000003
06.03.2015 01:30:00.000 GMT+0530,1.10263,1.10327,1.10244,1.10316,9000.4401
